"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"FAH4ZRNT","newspaperArticle","2015","Wallace-Wells, Benjamin","The Real Reason People Find the Times’ Amazon Story So Upsetting","Daily Intelligencer","","","","http://nymag.com/daily/intelligencer/2015/08/real-villain-amazon-data.html","Judging workers by aggressively monitored internal data is a lot scarier than Jeff Bezos.","2015-08-19","2016-01-31 20:38:01","2019-09-23 14:01:17","2016-01-31 20:38:01","","","","","","","","","","","","","","","","","","","","","","","F:\zotero\storage\Q2ISVAD2\real-villain-amazon-data.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93PFBRP2","newspaperArticle","2015","Taylor, Timothy","The Economics of the Retail Sector","CONVERSABLE ECONOMIST","","","","http://conversableeconomist.blogspot.com/2015/11/the-economics-of-retail-sector.html","","2015-11-24","2016-06-02 15:38:50","2019-09-23 17:59:03","","","","","","","","CONVERSABLE ECONOMIST","","","","","","","","","","","","","","","","F:\zotero\storage\9UT6VNQZ\the-economics-of-retail-sector.html; ","http://conversableeconomist.blogspot.com/2015/11/the-economics-of-retail-sector.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIE66D68","newspaperArticle","2014","Taylor, Timothy","Grocery Shopping in France, the UK, and the US","CONVERSABLE ECONOMIST","","","","http://conversableeconomist.blogspot.com/2014/04/grocery-shopping-in-france-uk-and-us.html","","2014-04-25","2016-06-02 17:47:55","2019-09-23 17:59:02","2014-04-25","","","","","","","CONVERSABLE ECONOMIST","","","","","","","","","","","","","","","","F:\zotero\storage\4NVW7ANQ\grocery-shopping-in-france-uk-and-us.html; ","http://conversableeconomist.blogspot.com/2014/04/grocery-shopping-in-france-uk-and-us.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82Z5MU2B","blogPost","","Seidman, Tony","Barcode History: Barcodes Sweep the World by","Barcoding Inc.","","","","http://www.barcoding.com/information/barcode_history.shtml","","","2016-06-16 16:56:04","2019-09-23 16:56:52","2016-06-16 16:56:04","","","","","","","","","","","","","","","","","","","","","","","F:\zotero\storage\6JQ88D2U\barcode_history.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KXPCMPBH","webpage","","","Technology Has Changed Grocery Cashier's Work * Quakertown Woman Says She Likes The Family Atmosphere At The Iga.","tribunedigital-mcall","","","","http://articles.mcall.com/1997-01-06/news/3138867_1_iga-grocery-store-cashier","Being a cashier in a grocery store has many responsibilities, says Sue Datesman of Quakertown. Datesman is celebrating her 10-year anniversary this month as a cashier at the IGA in downtown...","","2016-06-16 16:56:44","2019-09-23 18:02:58","2016-06-16 16:56:44","","","","","","","","","","","","","","","","","","","","","","","F:\zotero\storage\BV6Q3XFW\3138867_1_iga-grocery-store-cashier.html; ","http://articles.mcall.com/1997-01-06/news/3138867_1_iga-grocery-store-cashier","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3DCQ8ZWI","magazineArticle","2013","Thibodeau, Patrick","Walmart, jobs and the rise of self-service checkout tech","Computerworld","","","","http://www.computerworld.com/article/2494214/retail-it/walmart--jobs-and-the-rise-of-self-service-checkout-tech.html","","2013-01-16","2016-06-16 16:57:15","2019-09-23 21:16:33","2016-06-16 16:57:15","","","","","","","","","","","","","","","","","","","","","00000","","F:\zotero\storage\H2NGJR2M\walmart--jobs-and-the-rise-of-self-service-checkout-tech.html; ","http://www.computerworld.com/article/2494214/retail-it/walmart--jobs-and-the-rise-of-self-service-checkout-tech.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9ADEJ4XW","webpage","2013","Thibodeau, Patrick","Is kiosk use similar to offshore outsourcing?","Computerworld","","","","http://www.computerworld.com/article/2474043/retail-it/is-kiosk-use-similar-to-offshore-outsourcing-.html","","2013-01-07","2016-06-16 19:19:07","2019-09-23 17:59:05","2016-06-16 19:19:07","","","","","","","","","","","","","","","","","","","","","","","F:\zotero\storage\AM69SRP6\is-kiosk-use-similar-to-offshore-outsourcing-.html; ","http://www.computerworld.com/article/2474043/retail-it/is-kiosk-use-similar-to-offshore-outsourcing-.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZNVA49IJ","magazineArticle","2013","White, Martha C.","Do-It-Yourself Checkout: Love It or Hate It, Barcode Scanning Is In Your","Time","","","","http://business.time.com/2013/06/26/do-it-yourself-checkout-love-it-or-hate-it-barcode-scanning-is-in-your-future/","","2013-06-13","2016-06-16 19:19:27","2019-09-23 17:03:32","2016-06-16 19:19:27","","","","","","","","","","","","","","","","","","","","","","","F:\zotero\storage\TE34RD3Q\do-it-yourself-checkout-love-it-or-hate-it-barcode-scanning-is-in-your-future.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AII2K45J","newspaperArticle","2016","Miller, Greg","Wendy’s Moves to Eliminate Workforce","Wall St. Daily","","","","http://www.wallstreetdaily.com/2016/05/18/wendys-automated-ordering-minimum-wage/","","2016-05-18","2016-06-16 19:20:02","2019-09-23 17:56:06","2016-06-16 19:20:02","","","","","","","","","","","","","","","","","","","","","","","F:\zotero\storage\XNE2KX4R\wendys-automated-ordering-minimum-wage.html; ","http://www.wallstreetdaily.com/2016/05/18/wendys-automated-ordering-minimum-wage/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25T2Q92C","newspaperArticle","2016","Mojtehedzad, Sara; Vendeville, Geoffrey","Women in retail jobs hardest hit by gender pay gap, says new report | Toronto Star","The Star","","","","https://www.thestar.com/news/gta/2016/04/18/women-in-retail-jobs-hardest-hit-in-by-gender-pay-gap-says-new-report.html","The report highlights triple-disadvantage faced by women in the retail sector. Although women make up almost 60 per cent of the overall retail workforce, men still outnumber them in the highest-paid retail jobs.","2016-04-16","2016-06-16 19:21:49","2019-09-23 21:18:04","2016-06-16 19:21:49","","","","","","","","","","","","","","","","","","","","","00000","","F:\zotero\storage\52XWUXKC\women-in-retail-jobs-hardest-hit-in-by-gender-pay-gap-says-new-report.html; ","https://www.thestar.com/news/gta/2016/04/18/women-in-retail-jobs-hardest-hit-in-by-gender-pay-gap-says-new-report.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
